node_num,x,y,z
340032,-15.328125,14.994791666666666,0.0
350032,-15.328125,14.994791666666666,0.0
100033,15.328125,-14.994791666666666,14.791666666666666
110033,15.328125,-14.994791666666666,14.791666666666666
200033,15.328125,-14.994791666666666,14.791666666666666
210033,15.328125,-14.994791666666666,14.791666666666666
300033,15.328125,-14.994791666666666,14.791666666666666
310033,15.328125,-14.994791666666666,14.791666666666666
100034,15.328125,-4.0,14.791666666666666
110034,15.328125,-4.0,14.791666666666666
200034,15.328125,-4.0,14.791666666666666
210034,15.328125,-4.0,14.791666666666666
220034,15.328125,-4.0,14.791666666666666
300034,15.328125,-4.0,14.791666666666666
100035,15.328125,4.0,14.791666666666666
110035,15.328125,4.0,14.791666666666666
200035,15.328125,4.0,14.791666666666666
210035,15.328125,4.0,14.791666666666666
220035,15.328125,4.0,14.791666666666666
300035,15.328125,4.0,14.791666666666666
100036,15.328125,14.994791666666666,14.791666666666666
110036,15.328125,14.994791666666666,14.791666666666666
200036,15.328125,14.994791666666666,14.791666666666666
210036,15.328125,14.994791666666666,14.791666666666666
300036,15.328125,14.994791666666666,14.791666666666666
310036,15.328125,14.994791666666666,14.791666666666666
100037,4.0,-14.994791666666666,14.791666666666666
110037,4.0,-14.994791666666666,14.791666666666666
200037,4.0,-14.994791666666666,14.791666666666666
210037,4.0,-14.994791666666666,14.791666666666666
220037,4.0,-14.994791666666666,14.791666666666666
300037,4.0,-14.994791666666666,14.791666666666666
100038,4.0,-4.0,14.791666666666666
110038,4.0,-4.0,14.791666666666666
200038,4.0,-4.0,14.791666666666666
210038,4.0,-4.0,14.791666666666666
220038,4.0,-4.0,14.791666666666666
230038,4.0,-4.0,14.791666666666666
100039,4.0,4.0,14.791666666666666
110039,4.0,4.0,14.791666666666666
200039,4.0,4.0,14.791666666666666
210039,4.0,4.0,14.791666666666666
220039,4.0,4.0,14.791666666666666
230039,4.0,4.0,14.791666666666666
100040,4.0,14.994791666666666,14.791666666666666
110040,4.0,14.994791666666666,14.791666666666666
200040,4.0,14.994791666666666,14.791666666666666
210040,4.0,14.994791666666666,14.791666666666666
220040,4.0,14.994791666666666,14.791666666666666
300040,4.0,14.994791666666666,14.791666666666666
100041,-4.0,-14.994791666666666,14.791666666666666
110041,-4.0,-14.994791666666666,14.791666666666666
200041,-4.0,-14.994791666666666,14.791666666666666
210041,-4.0,-14.994791666666666,14.791666666666666
220041,-4.0,-14.994791666666666,14.791666666666666
300041,-4.0,-14.994791666666666,14.791666666666666
100042,-4.0,-4.0,14.791666666666666
110042,-4.0,-4.0,14.791666666666666
200042,-4.0,-4.0,14.791666666666666
210042,-4.0,-4.0,14.791666666666666
220042,-4.0,-4.0,14.791666666666666
230042,-4.0,-4.0,14.791666666666666
100043,-4.0,4.0,14.791666666666666
110043,-4.0,4.0,14.791666666666666
200043,-4.0,4.0,14.791666666666666
210043,-4.0,4.0,14.791666666666666
220043,-4.0,4.0,14.791666666666666
230043,-4.0,4.0,14.791666666666666
100044,-4.0,14.994791666666666,14.791666666666666
110044,-4.0,14.994791666666666,14.791666666666666
200044,-4.0,14.994791666666666,14.791666666666666
210044,-4.0,14.994791666666666,14.791666666666666
220044,-4.0,14.994791666666666,14.791666666666666
300044,-4.0,14.994791666666666,14.791666666666666
100045,-15.328125,-14.994791666666666,14.791666666666666
110045,-15.328125,-14.994791666666666,14.791666666666666
200045,-15.328125,-14.994791666666666,14.791666666666666
210045,-15.328125,-14.994791666666666,14.791666666666666
300045,-15.328125,-14.994791666666666,14.791666666666666
310045,-15.328125,-14.994791666666666,14.791666666666666
100046,-15.328125,-4.0,14.791666666666666
110046,-15.328125,-4.0,14.791666666666666
200046,-15.328125,-4.0,14.791666666666666
210046,-15.328125,-4.0,14.791666666666666
220046,-15.328125,-4.0,14.791666666666666
300046,-15.328125,-4.0,14.791666666666666
100047,-15.328125,4.0,14.791666666666666
110047,-15.328125,4.0,14.791666666666666
200047,-15.328125,4.0,14.791666666666666
210047,-15.328125,4.0,14.791666666666666
220047,-15.328125,4.0,14.791666666666666
300047,-15.328125,4.0,14.791666666666666
